Course Title,Qty,Training Location,Student's Unit,Year
AH-64 Flight Simulator,3,"WESTERN ARMY AVIATION TRAINING
SITE",190TH SQUADRON,2013
AH-64 Flight Simulator,3,"WESTERN ARMY AVIATION TRAINING
SITE",IAF AIR WING 25,2013
AH-64 Flight Simulator,6,"WESTERN ARMY AVIATION TRAINING
SITE",IAF AIR WING 25,2013
AH-64 Flight Simulator,6,"WESTERN ARMY AVIATION TRAINING
SITE",IAF AIR WING 25,2013
AH-64 Flight Simulator,2,"WESTERN ARMY AVIATION TRAINING
SITE",IAF AIR WING 25,2013
AH-64 Flight Simulator,1,"WESTERN ARMY AVIATION TRAINING
SITE",IAF AIR WING 30,2013
AH-64 Flight Simulator,1,"WESTERN ARMY AVIATION TRAINING
SITE",I.A.F- AIRWING 25,2013
AH-64 Flight Simulator,5,"WESTERN ARMY AVIATION TRAINING
SITE",IAF AIR WING 25,2013
AH-64 Flight Simulator,6,"WESTERN ARMY AVIATION TRAINING
SITE",IAF AIR WING 25,2013
AH-64 Flight Simulator,3,"WESTERN ARMY AVIATION TRAINING
SITE",IAF AIR WING 25,2013
AH-64 Flight Simulator,4,"WESTERN ARMY AVIATION TRAINING
SITE",IAF AIR WING 25,2013
AH-64 Flight Simulator,6,"WESTERN ARMY AVIATION TRAINING
SITE",IAF AIR WING 25,2013
AH-64 Flight Simulator,6,"WESTERN ARMY AVIATION TRAINING
SITE",IAF AIR WING 25,2013
AH-64 Flight Simulator,6,"WESTERN ARMY AVIATION TRAINING
SITE",190TH SQUADRON,2013
AH-64 Flight Simulator,6,"WESTERN ARMY AVIATION TRAINING
SITE",190TH SQUADRON,2013
AH-64 Flight Simulator,3,"WESTERN ARMY AVIATION TRAINING
SITE",190TH SQUADRON,2013
AH-64 Flight Simulator,6,"WESTERN ARMY AVIATION TRAINING
SITE",190TH SQUADRON,2013
AH-64 Flight Simulator,6,"WESTERN ARMY AVIATION TRAINING
SITE",190TH SQUADRON,2013
AH-64 Flight Simulator,3,"WESTERN ARMY AVIATION TRAINING
SITE",190TH SQUADRON,2013
AH-64 Flight Simulator,6,"WESTERN ARMY AVIATION TRAINING
SITE",190TH SQUADRON,2013
AH-64 Flight Simulator,4,"WESTERN ARMY AVIATION TRAINING
SITE",190TH SQUADRON,2013
AH-64 Flight Simulator,6,"WESTERN ARMY AVIATION TRAINING
SITE",190TH SQUADRON,2013
AH-64 Flight Simulator,5,"WESTERN ARMY AVIATION TRAINING
SITE",190TH SQUADRON,2013
AH-64 LCT Simulator,6,AVIATION SCHOOL,IAF AIR WING 25,2013
AH-64 LCT Simulator,6,AVIATION SCHOOL,IAF AIR WING 25,2013
AH-64 LCT Simulator,6,AVIATION SCHOOL,IAF AIR WING 25,2013
AH-64 LCT Simulator,6,AVIATION SCHOOL,113TH SQUADRON,2013
AH-64 LCT Simulator,6,AVIATION SCHOOL,113TH SQUADRON,2013
AH-64 LCT Simulator,6,AVIATION SCHOOL,113TH SQUADRON,2013
AH-64 LCT Simulator,6,AVIATION SCHOOL,113TH SQUADRON,2013
AH-64 LCT Simulator,6,AVIATION SCHOOL,113TH SQUADRON,2013
AH-64 LCT Simulator,6,AVIATION SCHOOL,113TH SQUADRON,2013
Air COMD & Staff College,1,"MAXWELL AFB, AL",KIRYA BASE HQ,2013
Air War College,1,"MAXWELL AFB, AL",IAF AIR WING,2013
Army Maintenance Management,1,ARMY LOGISTICS MANAGEMENT COLLEGE,WORKSHOP COMPANY BET HILLEL,2013
Army War College (Resident Course),1,ARMY WAR COLLEGE,Head of Artillery Section at the Ground Forces,2013
C-130E SIM REFR(P/CP/FE)12SH,3,"MCCHORD AFB, WA",IAF AIR WING 28,2013
C-130E SIM REFR(P/CP/FE)12SH,3,"MCCHORD AFB, WA",103RD SQUADRON,2013
Combined Logistics Captains Career (ALMC),1,ARMY LOG MGT COLLEGE - HUNTSVILLE CAMPUS,558 LOGISTICS BRIGADE,2013
